시설명,주소,경도,위도
대천경로당,경상남도 창원시 의창구 북면 천주로 606,128.602548039,35.309506670
대한경로당,경상남도 창원시 의창구 북면 구룡로 79-15,128.618564565,35.288561378
대호아파트경로당,경상남도 창원시 의창구 북면 천주로 1053(대호아파트),128.605456961,35.345329464
동전경로당,경상남도 창원시 의창구 북면 동전무동길 30,128.596763550,35.316543943
마산경로당,경상남도 창원시 의창구 북면 마산길 48,128.621238591,35.342287994
마산부인경로당,경상남도 창원시 의창구 북면 마산길 49,128.621496746,35.342524652
명촌경로당,경상남도 창원시 의창구 북면 외산로 349,128.598150767,35.385972508
명호경로당,경상남도 창원시 의창구 북면 천주로759번길 15-9,128.600584107,35.321109614
무동경로당,경상남도 창원시 의창구 북면 무동안길 20-5,128.578587051,35.317606946
무동휴먼빌경로당(1단지),"경상남도 창원시 의창구 북면 동곡로 33, 108동",128.584051262,35.319176009
무동휴먼빌2단지아파트경로당,경상남도 창원시 의창구 북면 동곡로 35,128.582769671,35.320470540
무동휴먼빌3단지아파트경로당,경상남도 창원시 의창구 북면 무동로226번길 19,128.583011095,35.317861167
바깥신천경로당,경상남도 창원시 의창구 북면 천주로 1398-12,128.626420986,35.368208537
북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.350508570
소라경로당,경상남도 창원시 의창구 북면 온천로587번길 17-3,128.583624056,35.359585610
상천(봉촌)경로당,경상남도 창원시 의창구 북면 온천로 648-22,128.589730866,35.359518412
센텀파라디아아파트경로당,경상남도 창원시 의창구 북면 무동서로 24,128.582398712,35.319222282
송촌경로당,경상남도 창원시 의창구 북면 무릉산길 239-3,128.577560908,35.342564139
승산경로당,경상남도 창원시 의창구 북면 구룡로 339,128.624490974,35.302687141
신기경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466
신동경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466
신리경로당,경상남도 창원시 의창구 북면 신리길35번길 2,128.604332813,35.348008506
신리부녀경로당,경상남도 창원시 의창구 북면 신리길 17,128.605534060,35.346726338
신목경로당,경상남도 창원시 의창구 북면 천주로1263번길 2,128.618073161,35.359183646
신우경로당,경상남도 창원시 의창구 북면 신촌본포로 12-10,128.608781642,35.347093189
신음경로당,경상남도 창원시 의창구 북면 무릉산길 2,128.584555366,35.328906665
신천경로당,경상남도 창원시 의창구 북면 하천로 245,128.612977089,35.373027144
