시설명,주소,경도,위도
영생비치2차맨션,"경상남도 통영시 도천상가안길 9(도천동,영생비치2차아파트)",128.414002698,34.837400996
우포,경상남도 통영시 평인일주로 529 (평림동),128.385647149,34.855519109
인평주공아파트,"경상남도 통영시 평인일주로 82(인평동,충무인평주공아파트)",128.397040033,34.841556298
태평,경상남도 통영시 천대국치길 207(인평동),128.392885864,34.836111101
한실,경상남도 통영시 평인일주로 34(인평동),128.400797165,34.839127139
대평,경상남도 통영시 평인일주로 858-47 (평림동) ,128.399985141,34.854016874
명정,경상남도 통영시 충렬4길 6-1(명정동) ,128.418088719,34.845583282
서호,경상남도 통영시 가죽고랑3길 10-68 (서호동) ,128.417483003,34.843362687
소포,경상남도 통영시 작은개길 16-12(평림동),128.405593028,34.860958668
약샘,경상남도 통영시 명정5길 28-10(명정동),128.414796799,34.845595871
근화,경상남도 통영시 중앙로 152 중앙상가 3층 3A4호(중앙동),128.423913936,34.845170256
문화(중앙),경상남도 통영시 서문로 19 (문화동),128.421480510,34.846928119
주영라이프,"경상남도 통영시 비석1길 49(태평동,주영라이프)",128.427939528,34.848682820
태평,경상남도 통영시 동문로 26-4(태평동),128.426704747,34.846495447
항남,경상남도 통영시 동충3길 41 (항남동),128.423731133,34.841066934
동원로얄듀크,"경상남도 통영시 비석1길 28 (정량동, 동원로얄듀크)",128.429362974,34.849448520
동원비취맨션,"경상남도 통영시 동호안길 86 (동호동, 동원비취맨션)",128.435359711,34.839410692
동호,경상남도 통영시 해송정2길 21(동호동),128.427760775,34.843415961
매화,경상남도 통영시 항북길 54-28(동호동),128.428476417,34.845041315
삼성타워,"경상남도 통영시 통영해안로 398(정량동,삼성타워)",128.430788494,34.845056786
삼익,"경상남도 통영시 항북길 12-27(정량동,삼익비치맨션)",128.430174953,34.846973727
정동,경상남도 통영시 동문3길 29(정량동),128.427892429,34.848437977
정량,경상남도 통영시 망일길 30(정량동),128.433964797,34.846385656
광우그랜드,"경상남도 통영시 여황로 404-26(북신동,광우그랜드맨션)",128.426466547,34.856439651
광우로얄,"경상남도 통영시 북문2길 12 경로당(북신동, 광우로얄맨션)",128.428758033,34.851212068
땅골,경상남도 통영시 세병로 79-16(북신동),128.425413222,34.850555174
북문,경상남도 통영시 북문1길 21-2 (북신동),128.428171104,34.850891533
북신,경상남도 통영시 북신시장1길 48-3(북신동),128.427353539,34.854889446
진우마리나,"경상남도 통영시 원문로 11, 103동 2층(북신동, 진우마리나타운)",128.426780092,34.857118564
통영해모로오션힐아파트,"경상남도 통영시 북신로 22, 116동 경로당 (북신동, 통영해모로오션힐아파트)",128.427030157,34.853082388
한빛,"경상남도 통영시 원문로 35(북신동, 일성한빛타운)",128.424516609,34.857320502
해미당,경상남도 통영시 해미당5길 18 (북신동),128.429793157,34.853615864
무전,경상남도 통영시 안개3길 36(무전동),128.431378047,34.855918344
무전희가로아파트,"경상남도 통영시 무전대로 12-50, 102동 1층 경로당(무전동, 무전희가로아파트)",128.421220295,34.859771661
미나리,경상남도 통영시 미나리4길 3(무전동),128.434885828,34.855860045
장대,경상남도 통영시 장대길 41 (무전동),128.433774493,34.852775010
한진로즈힐비치,"경상남도 통영시 무전1길 23(무전동,한진로즈힐비치1차)",128.421987894,34.861756419
대우공원아파트,"경상남도 통영시 선금산2길 28(미수동, 대우공원아파트)",128.404532948,34.825553321
동신1차아파트,"경상남도 통영시 미수해안로 54-21(미수동, 동신아파트)",128.407035474,34.831131911
동신2차아파트,"경상남도 통영시 미수해안로 52(미수동, 동신2차아파트)",128.406895570,34.830106427
미수1,경상남도 통영시 미수로 95(미수동),128.400294672,34.824194495
미수운하,경상남도 통영시 운하2길 31(미수동),128.411078382,34.832785739
미수주공아파트,"경상남도 통영시 미우지5길 35(미수동, 주공아파트)",128.399991727,34.824962993
미수휴먼시아,"경상남도 통영시 미우지해안로 107(미수동, 미수휴먼시아)",128.396392171,34.823297880
서광빌라,"경상남도 통영시 선금산2길 18(미수동, 서광빌라 가동 2층)",128.403592592,34.825901996
신우파라다이스,"경상남도 통영시 미우지해안로 17 (미수동, 신우파라다이스)",128.403295320,34.827518357
장원썬비치,경상남도 통영시 진남2길 43-10(미수동),128.408212119,34.831548742
현대아파트,"경상남도 통영시 미수해안로 36(미수동, 현대아파트)",128.407954116,34.828455986
남포,경상남도 통영시 도남로 300(도남동),128.433515227,34.824942224
도남,경상남도 통영시 데메3길 37-30(도남동),128.422447952,34.827720605
봉수골,경상남도 통영시 봉수돌샘길 43-5(봉평동),128.417155824,34.824515958
봉평,경상남도 통영시 서송정2길 25(봉평동),128.420529335,34.831480837
봉평아파트,"경상남도 통영시 봉수로 86(봉평동,봉평아파트)",128.415055472,34.823717874
성원1차아파트,"경상남도 통영시 서송정길 6, 2동 103호(도남동, 통영성원아파트)",128.421729433,34.830438081
해평,경상남도 통영시 해평6길 12 (봉평동),128.416911090,34.833245035
선인1리경로당,경상남도 사천시 경상남도 사천시 사천읍 서재농청길 73-9 2층,128.094176332,35.081220719
선인2리경로당,경상남도 사천시 경상남도 사천시 사천읍 동구밖길 37-3 2층,128.092334181,35.082025895
선인3리경로당,"경상남도 사천시 경상남도 사천시 사천읍 읍내로 98, 가동 4호(신진아파트)",128.094863719,35.080933612
대경아파트경로당,경상남도 사천시 경상남도 사천시 사천읍 서당길 1-5,128.098846341,35.081586301
대경파미르경로당,경상남도 사천시 경상남도 사천시 사천읍 사천향교로 13,128.099591391,35.086522328
정의1리경로당,"경상남도 사천시 경상남도 사천시 사천읍 시장1길 16-9, 2층",128.088424246,35.084694488
수양경로당,경상남도 사천시 경상남도 사천시 사천읍 정의길 82,128.090536105,35.084049306
정의3리경로당,경상남도 사천시 경상남도 사천시 사천읍 수양로 99-19,128.093227973,35.087602924
정의5리경로당,경상남도 사천시 경상남도 사천시 사천읍 수양로 129,128.096761549,35.088634415
평화1리경로당,경상남도 사천시 경상남도 사천시 사천읍 평화길 19,128.088028409,35.081275521
평화2리경로당,경상남도 사천시 경상남도 사천시 사천읍 평화2길 69,128.089837693,35.082440700
평화3리경로당,경상남도 사천시 경상남도 사천시 사천읍 선평길 11-18(신진타워맨션),128.090575714,35.080458026
수석1리경로당,경상남도 사천시 경상남도 사천시 사천읍 수석1길 25,128.086768457,35.086475985
수석2리경로당,"경상남도 사천시 경상남도 사천시 사천읍 사천대로 1902, 2층",128.084854685,35.086166450
수석3리경로당,경상남도 사천시 경상남도 사천시 사천읍 시장1길 5-23,128.087239365,35.084317806
청심경로당,경상남도 사천시 경상남도 사천시 사천읍 청심길 19,128.085136424,35.079131546
수석6리경로당,경상남도 사천시 경상남도 사천시 사천읍 중선1길 5,128.085992731,35.088428013
수석7리경로당,경상남도 사천시 경상남도 사천시 사천읍 구암두문로 41-14 (효성아파트),128.091558143,35.088310126
사주리경로당,경상남도 사천시 경상남도 사천시 사천읍 사주길 36-7,128.084062183,35.076436073
용당1리경로당,경상남도 사천시 경상남도 사천시 사천읍 용당길 57,128.072111025,35.079350895
용당2리경로당,경상남도 사천시 경상남도 사천시 사천읍 용당길 162,128.068632448,35.079131198
구암1리경로당,경상남도 사천시 경상남도 사천시 사천읍 구암1길 23,128.118508763,35.088315897
구암2리경로당,경상남도 사천시 경상남도 사천시 사천읍 백산길 19-6,128.112211769,35.086956379
구암3리경로당,경상남도 사천시 경상남도 사천시 사천읍 토촌길 21,128.100592853,35.094876157
이안애아파트경로당,경상남도 사천시 경상남도 사천시 사천읍 구암두문로 254-9(원광이안애) ,128.113651212,35.088082631
장전1리경로당,경상남도 사천시 경상남도 사천시 사천읍 구암두문로 585,128.142558344,35.098194862
장전2리경로당,"경상남도 사천시 경상남도 사천시 사천읍 장전2길 138, 2층",128.143086311,35.089043028
금곡경로당,경상남도 사천시 경상남도 사천시 사천읍 거무실안길 3,128.155465778,35.090663620
두량1리경로당,경상남도 사천시 경상남도 사천시 사천읍 웅동안길 13-4,128.138048183,35.105398101
두량2리경로당,경상남도 사천시 경상남도 사천시 사천읍 관율길 12,128.134780573,35.112327003
두량3리경로당,"경상남도 사천시 경상남도 사천시 사천읍 둔암길 161, 2층",128.125915097,35.101336570
두량5리경로당,경상남도 사천시 경상남도 사천시 사천읍 추동길 28,128.118335522,35.104250182
두량6리경로당,"경상남도 사천시 경상남도 사천시 사천읍 원두길 47, 2층",128.125011070,35.106820386
동성경로당,경상남도 사천시 경상남도 사천시 사천읍 평화2길 21,128.087532966,35.083507533
신성아파트경로당,경상남도 사천시 경상남도 사천시 사천읍 운동장길 3-23,128.092340909,35.088942815
덕진봄아파트경로당,경상남도 사천시 경상남도 사천시 사천읍 옥산로 97,128.093342206,35.079428194
사천꿈에그린아파트경로당,경상남도 사천시 경상남도 사천시 사천읍 진삼로 1315,128.078481466,35.069810747
고읍경로당,경상남도 사천시 경상남도 사천시 정동면 고읍길 223,128.097685335,35.067647629
동계1리경로당,경상남도 사천시 경상남도 사천시 정동면 동계2길 48,128.089656242,35.072394260
한보2차아파트경로당,경상남도 사천시 경상남도 사천시 정동면 사천강1길 11,128.084202175,35.073459755
한보빌라경로당,경상남도 사천시 경상남도 사천시 정동면 진삼로 1396-15,128.085547354,35.075409720
동계5리경로당,경상남도 사천시 경상남도 사천시 정동면 진삼로 1420 ,128.086234974,35.077710115
동계6리경로당,경상남도 사천시 경상남도 사천시 정동면 정동중앙로 7-12 ,128.087248452,35.078313464
한보3차아파트경로당,경상남도 사천시 경상남도 사천시 정동면 진삼로 1386 ,128.084310866,35.075248481
청구아파트경로당,경상남도 사천시 경상남도 사천시 정동면 읍동길 27 ,128.086018888,35.074873067
예수경로당,경상남도 사천시 경상남도 사천시 정동면 사천강2길 148,,
반룡경로당,경상남도 사천시 경상남도 사천시 정동면 반룡1길 205-7,,
화암경로당,경상남도 사천시 경상남도 사천시 정동면 화암길 173-6,128.107154572,35.079543623
여옥경로당,경상남도 사천시 경상남도 사천시 정동면 여옥길 72,128.110054325,35.071642432
옥정경로당,경상남도 사천시 경상남도 사천시 정동면 옥정길 37,128.106713347,35.072513279
풍정경로당,경상남도 사천시 경상남도 사천시 정동면 풍정길 10,128.110761476,35.066442618
삼성아파트경로당,경상남도 사천시 경상남도 사천시 정동면 옥산로 328 ,128.110314409,35.064669228
송보아파트경로당,경상남도 사천시 경상남도 사천시 정동면 여옥길 36 ,128.111448909,35.068168965
수청경로당,경상남도 사천시 경상남도 사천시 정동면 수청길 96 ,128.112969162,35.058402889
죽담경로당,경상남도 사천시 경상남도 사천시 정동면 수청길 186 ,128.108443281,35.059728470
대곡경로당,경상남도 사천시 경상남도 사천시 정동면 한실안길 38-15,128.126766179,35.058639375
노천경로당,경상남도 사천시 경상남도 사천시 정동면 노천2길 77 ,128.132197689,35.053136393
대산경로당,경상남도 사천시 경상남도 사천시 정동면 대산2길 22,128.140799168,35.055719242
복상경로당,경상남도 사천시 경상남도 사천시 정동면 감곡길 59 ,128.143795550,35.051902671
감곡경로당,경상남도 사천시 경상남도 사천시 정동면 감곡길 238 ,128.153102555,35.051580502
만마경로당,경상남도 사천시 경상남도 사천시 정동면 만마1길 13 ,128.146304599,35.041616961
학촌경로당,경상남도 사천시 경상남도 사천시 정동면 학촌길 147 ,128.145417606,35.033588245
이동경로당,경상남도 사천시 경상남도 사천시 정동면 이동길 19 ,128.154669578,35.032911996
소곡경로당,경상남도 사천시 경상남도 사천시 정동면 소곡길 48 ,128.161439572,35.032363436
금곡경로당,경상남도 사천시 경상남도 사천시 정동면 쇠실1길 88,128.154882346,35.028844297
가곡경로당,경상남도 사천시 경상남도 사천시 정동면 가곡길 103,128.160855708,35.026140852
객방경로당,경상남도 사천시 경상남도 사천시 정동면 객방길 57 ,128.169884116,35.031708279
건점경로당,경상남도 사천시 경상남도 사천시 정동면 건점1길 19,128.135738860,35.058485775
사천KCC아파트경로당,경상남도 사천시 경상남도 사천시 정동면 반룡1로 52,128.085092278,35.063443020
죽천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 죽천2길 14,,
상죽경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 상죽길 16-18,,
용두경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 용머리1길 54,,
초전경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 초전1길 36,,
방지경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 방지로 56-21,,
유천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 유천2길 5-9,,
조동경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 조동길 50-11,,
하동경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 하동안길 29,,
월성경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 월성2길 13-13,,
곡성경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 곡성1길 24,,
도동경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 도동2길 59,,
병둔경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 병둔2길 41-8,,
화전경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 화전2길 17,,
구룡경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 구룡길 2,,
예의경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 예의2길 60-12,,
우천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 우천길 47-12,,
능화경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 능화길 143,,
연천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 사남로 397,,
가천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 가천길 113,,
종천경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 종천1길 13,,
소산경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 소산길 179,,
사촌경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 사촌길 161,,
대산경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 대산길 36,,
송암경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 사남로 37,,
계양경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 계양길 107,,
진분계경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 진분계길 39,,
한주빌라트경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 진삼로 1279,,
진사주공경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 조동길 60,,
푸르지오경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 조동길 61,,
리가경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 월성1길 89,,
엘크루경로당,경상남도 사천시 경상남도 사천시 사남면행정복지센터 조동길 49,,
선진경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 선진공원길 458,,
연호경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 연호안길 31,,
신기경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신기2길 22,,
통양경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 통양1길 46-22,,
종포경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 종포길 242,,
신복경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신복길 129,,
평기경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 평기2길 36,,
온정경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 온정2길 32,,
용정경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 용정길 134-5,,
석계경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 석계2길 73,,
구월경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 구월길 263,,
금구경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 용치로 84,,
용치경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 용치로 235,,
장송경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 장송2길 35,,
신송경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신송1길 29,,
평송경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 평송길 46,,
금문경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 금문길 66,,
주문경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 주문길 309,,
신평경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신평길 104-20,,
덕곡경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신덕길 19,,
부곡경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 부곡2길 35,,
신영경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 신영길 13-2,,
동강경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 죽천강길 56,,
용현휴먼시아경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 진삼로 580,,
덕산아내경로당,경상남도 사천시 경상남도 사천시 용현면행정복지센터 용현로 87,,
신기경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 신기길 86-4,,
양동경로당,경상남도 사천시 경상남도 사천시축동면행정복지센터 양동1길 17,,
배춘경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 배춘길 30,,
운계경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 운계길 46,,
길평경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 길평길 88,,
사다경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 사다길 247,,
예동경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 예동길 33,,
상탑경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 상탑길 10,,
중탑경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 탑리길 118,,
하탑경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 서삼로 1397,,
신촌경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 내축로 210-1,,
관동경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 관동마을길 118-16,,
반용경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 반룡길 26-38,,
용산경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 화당산로 91,,
용수경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 용수길 32,,
가산경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 가산길 15,,
구호경로당,경상남도 사천시 경상남도 사천시 축동면행정복지센터 구호길 10,,
곤양경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 성내안길 18-2,,
삼동경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 성내1길 12-13,,
수동경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 곤양로 121,,
옥곡경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 옥곡길 8,,
남문경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 남문안길 6,,
후전경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 곤양로 189,,
사동경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 사동길 6,,
상정경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 상정마을길 130-5 ,,
우티경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 우티2길 14-5,,
무고경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 무고안길 17,,
상평경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 무고길 116,,
맥사경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 맥사2길 5,,
송정경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 송정길 5,,
포곡경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 포곡길 430,,
당천경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 향교길 87,,
석문경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 석문길 235,,
한월경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 광포만로 163,,
제민경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 제민1길 1,,
어류경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 어류길 95,,
본촌경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 가리길 96,,
환덕경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 환덕안길 60,,
고동포경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 고동포안길 40,,
묵곡경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 제방골길 39-4,,
목단경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 목단길 3,,
묵실경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 묵실길 153-5,,
동천경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 서삼로 600-5,,
흥사경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 흥사길 20,,
가화경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 탑골길 14-12,,
검정경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 검정2길 6,,
와티경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 와티길 91-13,,
안도경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 안도3길 4,,
점복개경로당,경상남도 사천시 경상남도 사천시 곤양면행정복지센터 검항로 360,,
오사경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 오사길 5  ,,
추동경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 추동1길 12,,
신산경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 신산길 36,,
용산경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 용산마을길 373,,
조장경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 조장1길 58,,
원전경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 원전1길 42,,
오저경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 오저길 14,,
초량경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 초량길 25,,
삼정경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 세종태실로 396,,
은사경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 은도원길 5,,
옥동경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 옥동길 216,,
마곡경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 마곡안길 2,,
송림경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 송림길 83,,
성방경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 묵성로 645,,
작팔경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 작팔길 364,,
구몰경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 작팔길 221,,
만지경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 흥신로 614,,
고월경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 연평길 20,,
완사경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 곤수로 20,,
신기경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 서실1길 42 ,,
본촌경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 곤수로 392,,
양월경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 양월안길 21-32,,
금성경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 금성2길 28,,
장신경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 장신1길 19,,
연평경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 연평길 168,,
봉암경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 봉암길 64-3,,
오랑경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 오랑길 40,,
도금경로당,경상남도 사천시 경상남도 사천시 곤명면행정복지센터 옥동길 431,,
금진경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 금진1길 11,,
후포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 율포길 161,,
내구경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 내구길 24,,
굴포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 굴포길 119 ,,
신흥경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 신흥길 240,,
서구경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 외금로 197,,
동구경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 동구길 17,,
남구경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 미역골길 71,,
조도경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 조도로 109 ,,
구랑경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 구랑1길11,,
조교경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 잔드리길 154-29,,
중촌경로당,"경상남도 사천시 경상남도 사천시 서포면행정복지센터 중촌안길 110, 2층",,
구포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 자구로 146,,
구평경로당,"경상남도 사천시 경상남도 사천시 서포면행정복지센터 구평길14, 2층",,
통정경로당,"경상남도 사천시 경상남도 사천시 서포면행정복지센터 서포로 299, 2층",,
서포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 서포로 299,,
대포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 대포1길 161 ,,
다맥경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 다평로 286,,
신소경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 독소길4,,
선창경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 선창길 95-1,,
염전경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 서포로 200,,
비토경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 세곡길 12,,
아포경로당,경상남도 사천시 경상남도 사천시 서포면행정복지센터 아포길 149-6,,
대방경로당,경상남도 사천시 경상남도 사천시 대방2길 32(대방동) 2층,128.055757018,34.930585596
대방노모당,경상남도 사천시 경상남도 사천시 굴항길 21(대방동),128.056662196,34.930788840
실안경로당,경상남도 사천시 경상남도 사천시 실안길 25-5(실안동),128.044393490,34.943683960
실안노모당,경상남도 사천시 경상남도 사천시 실안길 25-5(실안동),128.044393490,34.943683960
영복원경로당,경상남도 사천시 경상남도 사천시 영복1길 74-5(실안동),128.032126952,34.957295758
늑도경로당,경상남도 사천시 경상남도 사천시 늑도길 91(늑도동),128.037589495,34.924529677
서부경로당,경상남도 사천시 경상남도 사천시 서동2길 20(서동) 2층,128.068083162,34.930076264
서부노모당,경상남도 사천시 경상남도 사천시 서동2길 20(서동),128.068083162,34.930076264
마도경로당,경상남도 사천시 경상남도 사천시 마도길 43(마도동),128.030315101,34.937200989
신수경로당,경상남도 사천시 경상남도 사천시 신수서길 1-48(신수동),128.074525131,34.903323395
각산경로당,경상남도 사천시 경상남도 사천시 서리길 68-8(서동) 2층,128.064137063,34.930055094
각산노모당,경상남도 사천시 경상남도 사천시 서리길 68-8(서동),128.064137063,34.930055094
동동경로당,경상남도 사천시 경상남도 사천시 동동길 37(동동),128.069742368,34.931187123
청널경로당,경상남도 사천시 경상남도 사천시 청널1길 46(서동),128.066316584,34.927582265
산분령경로당,경상남도 사천시 경상남도 사천시 산분령길 11(실안동),128.035268427,34.951341267
중앙경로당,경상남도 사천시 경상남도 사천시 수남4길 8(동동),128.070473177,34.928961175
각산골경로당,경상남도 사천시 경상남도 사천시 동서1길 60(동동),128.069670761,34.933447823
웰뷰파크경로당,경상남도 사천시 경상남도 사천시 대방길 138(대방동),128.057726989,34.929304727
풍국그린맨션경로당,경상남도 사천시 경상남도 사천시 서동길 21(서동),128.067114525,34.930810009
수도골경로당,경상남도 사천시 경상남도 사천시 수도골안길 7(동림동),128.075614260,34.939153317
용호경로당,경상남도 사천시 경상남도 사천시 좌룡2길 89(좌룡동),128.080727710,34.953041527
신치경로당,경상남도 사천시 경상남도 사천시 새고개2길 33(동림동),128.075009841,34.953162965
상동림경로당,경상남도 사천시 경상남도 사천시 상동림1길 28(동림동),128.075853428,34.944515111
