rigeon1,nodeid1,routeid1
38010,CWB379000317,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379000320,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379000357,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490']"
38010,CWB379000364,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379001020', 'CWB379001130', 'CWB379001220', 'CWB379002130']"
38010,CWB379000366,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000100', 'CWB379000110', 'CWB379000120', 'CWB379000130', 'CWB379000140', 'CWB379000170', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379001550', 'CWB379002120', 'CWB379050000']"
38010,CWB379000361,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000100', 'CWB379000110', 'CWB379000120', 'CWB379000130', 'CWB379000140', 'CWB379000170', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379001550', 'CWB379002120', 'CWB379050000', 'CWB379060000']"
38010,CWB379000358,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000100', 'CWB379000110', 'CWB379000120', 'CWB379000130', 'CWB379000140', 'CWB379000170', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379001550', 'CWB379002120', 'CWB379050000']"
38010,CWB379000354,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001550', 'CWB379050000']"
38010,CWB379000376,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000190', 'CWB379000360', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001020', 'CWB379001130', 'CWB379001220', 'CWB379007100', 'CWB379050000']"
38010,CWB379000408,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000080', 'CWB379000190', 'CWB379000200', 'CWB379000210', 'CWB379000230', 'CWB379000240', 'CWB379000270', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379000700', 'CWB379001000', 'CWB379001020', 'CWB379001080', 'CWB379001090', 'CWB379001110', 'CWB379001130', 'CWB379001150', 'CWB379001220', 'CWB379002130', 'CWB379002150', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379005300', 'CWB379007100', 'CWB379050000', 'CWB379060000']"
