시설명,정류장1,정류장2,정류장3,정류장4,정류장5,정류장6,정류장7,정류장8,정류장9,정류장10,total_idx
거제소방서,0.004779439317678218,0.0083581822072627,0.004652675268615575,0.007335571741228489,0.007655696713617911,0.0049661129973187345,0.003984422910888214,0.00690695703109116,0.003551493291840517,0.006791008610498506,0.05898156009004003
거창소방서,,,,,,,,,,,0.0
고성소방서,0.1517481585915115,0.04442071870766335,0.04612560051925901,0.03726909770782907,0.038678258172763644,,,,,,0.3182418336990266
김해동부소방서,0.020422495249724136,0.01896853638861485,0.011438652577585183,0.017440416173168792,0.017363323195266667,5.177588771166986e-05,0.00986393468033819,0.008478408036633085,0.008083756514236616,0.021205051502024515,0.1333163502053037
김해서부소방서,0.00457308603856973,0.0045804716879903435,0.039454061018535665,0.03868995685393013,0.010580231575571713,0.0038761329261708163,0.0038798077371020477,0.01364490007822262,0.010290782633930124,0.013186609196905882,0.14275603974692908
남해소방서,0.0015415058417713261,0.00146675585063811,0.0008342988221805559,0.000762328034079602,0.00571566657923253,0.006146542928724024,,,,,0.016467098056626148
밀양소방서,0.006036288394013903,0.009235951790126486,0.003506669936964059,0.004509822976120254,0.004509930693964287,0.008065304376311947,0.00536468335267867,0.0034222503052133697,0.0029190374611768165,0.002785358586789684,0.050355297873359475
사천소방서,0.0010082751662385178,0.0010785781730379483,0.0009716908469592425,0.0019033744031568232,0.0010431320643621248,0.018271422515829024,0.017977734917068822,0.022116894119710753,0.02143014368676637,0.01738980428757134,0.10319105018070096
양산소방서,0.12080224264515407,0.12398067568308634,0.06411268770015134,0.09726052430581944,0.1123740452425554,0.07338016649757195,0.07215475496794455,0.10402780619825315,0.03275001351240542,0.09958188110919139,0.900424797862133
의령소방서,0.0008510054675708581,0.0002736034709535835,0.0052354204066253135,0.004952997993099416,0.000821477022995021,0.00012103847362159552,0.000122418749751696,0.00033351509646775766,0.00032798562978224695,0.00010498598396918944,0.013144448294836677
진주소방서,0.26581959832800583,0.1314009724556128,0.19818996822881238,0.29031878612694867,0.42758315081139703,0.14562256805771234,0.42397382971590974,0.223250437627439,0.042099741082763514,0.03297626888927574,2.181235321323877
창녕소방서,0.00048407172547404903,0.000489080800154576,0.005380190045069787,,,,,,,,0.006353342570698412
통영소방서,0.0007819082278976353,0.0007760444402756522,0.11235811645396543,0.10769447094954653,0.10750600344027395,0.014510428996688066,0.10283996730211069,0.0168875848355928,0.03319581237715492,0.030673582298149454,0.5272239193216551
하동소방서,7.34753981827996e-05,,7.313352936212348e-05,4.420130791700082e-05,,,,,,,0.0001908102354619239
함안소방서,0.006343215028420294,0.005913655925285476,0.0038090101165459867,0.002822116816824994,,,,,,,0.01888799788707675
함양소방서,0.0068291893378637355,0.005818932076541122,5.4472217706573936e-05,5.423650397602596e-05,,,,,,,0.012756830136087458
합천소방서,0.00014074904899731612,3.6032177357047224e-05,,,,,,,,,0.00017678122635436335
의령경찰서,0.00535611058323818,0.005711466381608773,0.003961422556915222,0.005018272213805067,0.005315066007330232,0.0036328098056443545,0.004484441694617524,0.0030164350508578683,0.0031186764378332266,0.00039172759264876933,0.04000642832449922
