city_name,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime,usage,노선정류장수,노선거리(km),굴곡도,start,end,total_operating_time,interval_avg,num_bus,총인구수,노인(수),인구_대비_정류장수
창원시,44,지선버스,경남대남부터미널종점,무점종점,555.0,2000.0,245.0,245.0,245.0,5355.0,111.0,56.4,1.5,355.0,1200.0,845.0,245.0,3,1003731.0,276574.0,9042.621621621622
창원시,45,지선버스,경남대남부터미널종점,신용삼거리,530.0,1940.0,225.0,225.0,225.0,6874.0,135.0,63.2,1.4,330.0,1180.0,850.0,225.0,3,1003731.0,276574.0,7435.044444444445
창원시,46,지선버스,경남대남부터미널종점,용전마을,610.0,2110.0,150.0,150.0,150.0,4807.0,85.0,40.1,1.4,370.0,1270.0,900.0,150.0,6,1003731.0,276574.0,11808.6
창원시,49,지선버스,경남대남부터미널종점,유등종점,535.0,2000.0,315.0,315.0,315.0,3175.0,178.0,91.1,1.8,335.0,1200.0,865.0,315.0,2,1003731.0,276574.0,5638.938202247191
창원시,50,지선버스,월영1차아파트,안계종점,600.0,2225.0,175.0,175.0,175.0,5177.0,99.0,39.7,2.0,360.0,1345.0,985.0,175.0,5,1003731.0,276574.0,10138.69696969697
창원시,51,지선버스,월영1차아파트,신목종점,510.0,2145.0,82.0,82.0,82.0,17827.0,109.0,46.5,1.5,310.0,1305.0,995.0,82.0,12,1003731.0,276574.0,9208.54128440367
창원시,53,지선버스,월영1차아파트,안성종점,545.0,2230.0,90.0,90.0,90.0,9098.0,85.0,37.0,2.2,345.0,1350.0,1005.0,90.0,11,1003731.0,276574.0,11808.6
창원시,54,지선버스,월영1차아파트,마산대학교종점,550.0,2230.0,90.0,90.0,90.0,4164.0,91.0,36.7,1.8,350.0,1350.0,1000.0,90.0,11,1003731.0,276574.0,11030.010989010989
창원시,55,지선버스,호계중학교,소계종점,620.0,2130.0,130.0,130.0,130.0,1232.0,65.0,33.5,2.0,380.0,1290.0,910.0,130.0,7,1003731.0,276574.0,15442.015384615384
창원시,60,지선버스,마산역종점,옥계종점,740.0,2120.0,180.0,180.0,180.0,3672.0,90.0,51.9,1.8,460.0,1280.0,820.0,180.0,4,1003731.0,276574.0,11152.566666666668
창원시,61,지선버스,마산역종점,저도비치로드,550.0,2135.0,110.0,114.6,118.0,2982.0,133.0,59.7,1.7,350.0,1295.0,945.0,111.8,8,1003731.0,276574.0,7546.849624060151
창원시,61-1,간선버스,마산역종점,조밭골,928.0,1614.0,128.1,110.0,110.0,2982.0,99.0,49.54012738853503,2.0,568.6765746638358,974.5322338830584,405.8556592192226,122.92857142857144,3,1003731.0,276574.0,10138.69696969697
창원시,62,지선버스,마산역종점,원전종점,720.0,2210.0,79.0,79.0,79.0,15196.0,128.0,64.8,1.9,440.0,1330.0,890.0,79.0,11,1003731.0,276574.0,7841.6484375
창원시,64,지선버스,마산역종점,진동환승센터,550.0,1820.0,260.0,260.0,260.0,2141.0,166.0,89.2,4.1,350.0,1100.0,750.0,260.0,2,1003731.0,276574.0,6046.5722891566265
창원시,73-1,지선버스,월안마을,진동환승센터,650.0,2250.0,120.0,120.0,120.0,1049.0,55.0,28.6,1.6,410.0,1370.0,960.0,120.0,8,1003731.0,276574.0,18249.654545454545
창원시,74,지선버스,마산역종점,정곡종점,730.0,2100.0,170.0,170.0,170.0,6974.0,97.0,53.5,1.6,450.0,1260.0,810.0,170.0,4,1003731.0,276574.0,10347.742268041236
창원시,74-1,지선버스,진동환승센터,정곡종점,635.0,2220.0,135.0,135.0,135.0,2331.0,47.0,19.3,1.6,395.0,1340.0,945.0,135.0,7,1003731.0,276574.0,21355.978723404256
창원시,75,지선버스,마산역종점,상평종점,835.0,2230.0,220.0,220.0,220.0,5175.0,126.0,85.2,2.3,515.0,1350.0,835.0,220.0,3,1003731.0,276574.0,7966.119047619048
창원시,75-1,지선버스,둔덕종점,진동환승센터,715.0,2030.0,300.0,300.0,300.0,1788.0,83.0,58.8,2.1,435.0,1230.0,795.0,300.0,2,1003731.0,276574.0,12093.144578313253
창원시,75-2,지선버스,상평종점,진동환승센터,910.0,2220.0,420.0,420.0,420.0,989.0,55.0,37.1,1.9,550.0,1340.0,790.0,420.0,1,1003731.0,276574.0,18249.654545454545
창원시,76,지선버스,마산역종점,둔덕종점,755.0,2145.0,225.0,225.0,225.0,5916.0,136.0,84.0,2.2,475.0,1305.0,830.0,225.0,3,1003731.0,276574.0,7380.375
창원시,77,지선버스,마산역종점,시락정곡종점,750.0,2030.0,290.0,290.0,290.0,4473.0,144.0,101.5,2.0,470.0,1230.0,760.0,290.0,2,1003731.0,276574.0,6970.354166666667
