city_name,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime,usage,노선정류장수,노선거리(km),굴곡도,start,end,total_operating_time,interval_avg,num_bus,총인구수,노인(수),citycode,routeid
창원시,1,마을버스,신전,창원역,540.0,2210.0,40.0,40.0,40.0,33931.0,105,55.9,2.0,340.0,1330.0,990.0,40.0,24,1003731,276574,38010,CWB379000010
창원시,2,마을버스,유등,창원역,725.0,2150.0,170.0,170.0,170.0,2558.0,83,53.5,1.7,445.0,1310.0,865.0,170.0,5,1003731,276574,38010,CWB379000020
창원시,3,마을버스,상리,진영시외주차장,750.0,1655.0,220.0,220.0,220.0,299.0,74,43.8,2.6,470.0,1015.0,545.0,220.0,2,1003731,276574,38010,CWB379000030
창원시,7,마을버스,창원역,자여입구,620.0,2310.0,11.0,15.0,15.0,63612.0,35,21.1,1.0,380.0,1390.0,1010.0,12.142857142857142,83,1003731,276574,38010,CWB379000070
창원시,8,마을버스,창원역,삼성창원병원종점(8),600.0,2240.0,17.0,17.0,17.0,68306.0,39,8.8,1.8,360.0,1360.0,1000.0,17.0,58,1003731,276574,38010,CWB379000080
창원시,10,지선버스,대방동성아파트,북면종점,605.0,2200.0,70.0,70.0,70.0,20688.0,124,52.8,1.5,365.0,1320.0,955.0,70.0,13,1003731,276574,38010,CWB379000100
창원시,11,지선버스,대방동성아파트,내봉촌,920.0,2110.0,260.0,260.0,260.0,2024.0,167,79.2,2.0,560.0,1270.0,710.0,260.0,2,1003731,276574,38010,CWB379000110
창원시,12,지선버스,대방동성아파트,북면종점,510.0,2005.0,126.0,126.0,126.0,11121.0,146,63.5,1.8,310.0,1205.0,895.0,126.0,7,1003731,276574,38010,CWB379000120
창원시,13,지선버스,대방동성아파트,북면종점,535.0,2035.0,255.0,255.0,255.0,4501.0,161,73.3,1.8,335.0,1235.0,900.0,255.0,3,1003731,276574,38010,CWB379000130
창원시,14,지선버스,대방동성아파트,명촌,525.0,2015.0,250.0,250.0,250.0,4389.0,160,77.2,1.8,325.0,1215.0,890.0,250.0,3,1003731,276574,38010,CWB379000140
창원시,15,지선버스,창원역,명촌2,520.0,1940.0,205.0,205.0,205.0,1849.0,123,64.7,2.3,320.0,1180.0,860.0,205.0,4,1003731,276574,38010,CWB379000150
창원시,17,지선버스,불모산종점,북면종점,500.0,2236.0,29.0,29.0,40.0,94109.0,151,67.5,1.7,300.0,1356.0,1056.0,30.571428571428573,34,1003731,276574,38010,CWB379000170
창원시,19,지선버스,소계종점,STX칸1차아파트후문,600.0,2200.0,125.0,125.0,125.0,7820.0,54,32.3,2.4,360.0,1320.0,960.0,125.0,7,1003731,276574,38010,CWB379000190
창원시,20,지선버스,경남대남부터미널종점,북면종점,600.0,2235.0,45.0,45.0,45.0,51104.0,124,49.9,1.4,360.0,1355.0,995.0,45.0,22,1003731,276574,38010,CWB379000200
창원시,21,지선버스,경남대남부터미널종점,초소,610.0,2200.0,260.0,260.0,260.0,5787.0,157,68.5,1.6,370.0,1320.0,950.0,260.0,3,1003731,276574,38010,CWB379000210
창원시,22,지선버스,경남대남부터미널종점,명촌,540.0,2140.0,90.0,90.0,90.0,16043.0,161,70.0,1.6,340.0,1300.0,960.0,90.0,10,1003731,276574,38010,
