nodeid,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,geometry,weight
YSB4672,코아루아파트후문,35.3892,129.1479,2023-10-16,4672.0,38100,경상남도 양산시,양산,POINT (1149664.9680678034 1711636.8789862776),99872.0
YSB4673,코아루아파트후문,35.3892,129.148,2023-10-16,4673.0,38100,경상남도 양산시,양산,POINT (1149674.051062649 1711637.0303234162),99872.0
YSB4674,원동면행정복지센터,35.3647,128.9185,2023-10-16,4674.0,38100,경상남도 양산시,양산,POINT (1128867.915551333 1708596.499735414),23802.0
YSB4675,원동면행정복지센터,35.36467,128.9184,2023-10-16,4675.0,38100,경상남도 양산시,양산,POINT (1128858.877817085 1708593.0421010533),23802.0
YSB4676,원동농협,35.36757,128.9184,2023-10-16,4676.0,38100,경상남도 양산시,양산,POINT (1128854.2680529975 1708914.6933610283),65741.0
YSB4677,원동농협,35.36759,128.9183,2023-10-16,4677.0,38100,경상남도 양산시,양산,POINT (1128845.151164808 1708916.7814423833),65741.0
YSB4678,소원동,35.36927,128.9191,2023-10-16,4678.0,38100,경상남도 양산시,양산,POINT (1128915.1599774908 1709104.1593172697),65741.0
YSB4679,소원동,35.36927,128.9193,2023-10-16,4679.0,38100,경상남도 양산시,양산,POINT (1128933.3297940353 1709104.4198861846),26783.0
YSB4680,원동보건소.문화센타,35.37013,128.9199,2023-10-16,4680.0,38100,경상남도 양산시,양산,POINT (1128986.4706455164 1709200.5881228382),26783.0
YSB4681,원동보건소.문화센타,35.37011,128.92,2023-10-16,4681.0,38100,경상남도 양산시,양산,POINT (1128995.5872888316 1709198.5001911176),26783.0
YSB4682,신촌농협창고,35.3728,128.9202,2023-10-16,4682.0,38100,경상남도 양산시,양산,POINT (1129009.4749708506 1709497.1205252558),12480.0
YSB4683,신촌농협창고,35.37281,128.9201,2023-10-16,4683.0,38100,경상남도 양산시,양산,POINT (1129000.3745397946 1709498.0992916003),12480.0
YSB4686,함포마을입구,35.37805,128.9209,2023-10-16,4686.0,38100,경상남도 양산시,양산,POINT (1129064.7046644224 1710080.3341715415),12480.0
YSB4687,함포마을입구,35.37782,128.9209,2023-10-16,4687.0,38100,경상남도 양산시,양산,POINT (1129065.0710182628 1710054.8238431094),12480.0
YSB4688,함포마을회관,35.38003,128.9208,2023-10-16,4688.0,38100,경상남도 양산시,양산,POINT (1129052.4670459363 1710299.8144095757),12480.0
YSB4689,함포마을회관,35.38059,128.9207,2023-10-16,4689.0,38100,경상남도 양산시,양산,POINT (1129042.4914237724 1710361.7960907507),12480.0
YSB4690,구포국수.토곡산입구,35.38348,128.9206,2023-10-16,4690.0,38100,경상남도 양산시,양산,POINT (1129028.8049734225 1710682.2086682534),12480.0
YSB4691,구포국수.토곡산입구,35.38348,128.9206,2023-10-16,4691.0,38100,경상남도 양산시,양산,POINT (1129028.8049734225 1710682.2086682534),12480.0
YSB4690,구포국수.토곡산입구,35.38348,128.9206,2023-10-16,4690.0,38100,경상남도 양산시,양산,POINT (1129028.8049734225 1710682.2086682534),12480.0
YSB4691,구포국수.토곡산입구,35.38348,128.9206,2023-10-16,4691.0,38100,경상남도 양산시,양산,POINT (1129028.8049734225 1710682.2086682534),12480.0
YSB4692,천내,35.39176,128.9213,2023-10-16,4692.0,38100,경상남도 양산시,양산,POINT (1129079.192576719 1711601.4952043723),12480.0
YSB4693,천내,35.39172,128.9213,2023-10-16,4693.0,38100,경상남도 양산시,양산,POINT (1129079.2563301378 1711597.0586157262),12480.0
YSB4694,원동자연휴양림,35.40022,128.9287,2023-10-16,4694.0,38100,경상남도 양산시,양산,POINT (1129737.7341379214 1712549.5184619238),17410.0
YSB4695,원동자연휴양림,35.40023,128.9286,2023-10-16,4695.0,38100,경상남도 양산시,양산,POINT (1129728.6366659224 1712550.4964095769),12480.0
YSB4696,선장마을,35.40237,128.9305,2023-10-16,4696.0,38100,경상남도 양산시,양산,POINT (1129897.750475081 1712790.348982306),12480.0
YSB4697,선장마을,35.40215,128.93,2023-10-16,4697.0,38100,경상남도 양산시,양산,POINT (1129852.6973125201 1712765.2909111439),12480.0
YSB4698,법기터널,35.33834,129.0686,2023-10-16,4698.0,38100,경상남도 양산시,양산,POINT (1142551.6077769052 1705878.5381956408),110567.75859375
YSB4699,법기터널,35.33842,129.0686,2023-10-16,4699.0,38100,경상남도 양산시,양산,POINT (1142551.4672317826 1705887.4114978397),110567.75859375
YSB4700,신명동마을,35.40778,129.171,2023-10-16,4700.0,38100,경상남도 양산시,양산,POINT (1151728.3179113807 1713732.9599970123),136908.0
YSB4701,양산고,35.35046,129.0448,2023-10-16,4701.0,38100,경상남도 양산시,양산,POINT (1140367.5569879722 1707188.8385270184),162926.0
YSB4702,한성아파트,35.35018,129.0468,2023-10-16,4702.0,38100,경상남도 양산시,양산,POINT (1140549.7860055256 1707160.6196586664),48797.0
YSB4703,한성아파트,35.35028,129.0472,2023-10-16,4703.0,38100,경상남도 양산시,양산,POINT (1140585.9615657572 1707172.2792358086),48797.0
YSB4704,반도유보라2차,35.32908,129.0145,2023-10-16,4704.0,38100,경상남도 양산시,양산,POINT (1137650.41079395 1704774.927342076),147088.0
YSB4705,반도유보라2차,35.32899,129.0143,2023-10-16,4705.0,38100,경상남도 양산시,양산,POINT (1137632.384309972 1704764.667053694),147088.0
YSB4706,금정세무지서,35.32763,129.0162,2023-10-16,4706.0,38100,경상남도 양산시,양산,POINT (1137807.3946469 1704616.464135309),110567.75859375
YSB4707,금정세무지서,35.3275,129.016,2023-10-16,4707.0,38100,경상남도 양산시,양산,POINT (1137789.4358953137 1704601.7669322079),110567.75859375
YSB4725,석계정류장,35.4145,129.0635,2023-10-16,4725.0,38100,경상남도 양산시,양산,POINT (1141954.6010691868 1714318.6346001718),8316.0
YSB4726,석계정류장,35.41476,129.0631,2023-10-16,4726.0,38100,경상남도 양산시,양산,POINT (1141917.8249215486 1714346.8987376099),8316.0
YSB4727,동아중학교,35.30838,128.9924,2023-10-16,4727.0,38100,경상남도 양산시,양산,POINT (1135676.2066857587 1702448.5063315574),411652.0
YSB4728,동아중학교,35.30813,128.9924,2023-10-16,4728.0,38100,경상남도 양산시,양산,POINT (1135676.6242266917 1702420.7777199107),389008.0
YSB4729,양우내안애1차,35.31507,129.0005,2023-10-16,4729.0,38100,경상남도 양산시,양산,POINT (1136401.4103609296 1703201.6448226406),227017.0
YSB4730,양우내안애1차,35.3149,129.0006,2023-10-16,4730.0,38100,경상남도 양산시,양산,POINT (1136410.7869900262 1703182.9269894063),286081.0
YSB4731,반도유보라3차.동원4차,35.31406,129.0087,2023-10-16,4731.0,38100,경상남도 양산시,양산,POINT (1137148.5859773287 1703100.939932956),147088.0
YSB4732,반도유보라3차.동원4차,35.31399,129.0089,2023-10-16,4732.0,38100,경상남도 양산시,양산,POINT (1137166.8866334266 1703093.4527382893),158410.0
YSB4733,반도2차,35.32104,129.0081,2023-10-16,4733.0,38100,경상남도 양산시,양산,POINT (1137082.255495763 1703874.2954300041),110567.75859375
YSB4734,반도2차,35.32104,129.0084,2023-10-16,4734.0,38100,경상남도 양산시,양산,POINT (1137109.5267992183 1703874.7105788484),110567.75859375
YSB4735,수학체험공원.반도4차,35.31983,129.0065,2023-10-16,4735.0,38100,경상남도 양산시,양산,POINT (1136938.8491858256 1703737.8756766247),210759.0
YSB4736,수학체험공원.반도4차,35.3187,129.0054,2023-10-16,4736.0,38100,경상남도 양산시,양산,POINT (1136840.7572066195 1703611.0220232345),210759.0
YSB4737,양산타워,35.32428,129.0223,2023-10-16,4737.0,38100,경상남도 양산시,양산,POINT (1138367.5767810622 1704253.401676477),192724.0
YSB4763,남양산e편한2차.반도5차,35.32098,129.0233,2023-10-16,4763.0,38100,경상남도 양산시,양산,POINT (1138464.1054419456 1703888.7786983014),240784.0
YSB4764,남양산e편한2차.반도5차,35.32082,129.0232,2023-10-16,4764.0,38100,경상남도 양산시,양산,POINT (1138455.2878102802 1703870.892508194),241805.0
YSB4765,산림청,35.31584,129.0263,2023-10-16,4765.0,38100,경상남도 양산시,양산,POINT (1138745.601366059 1703322.8716497542),48060.0
YSB4766,산림청,35.31558,129.0265,2023-10-16,4766.0,38100,경상남도 양산시,양산,POINT (1138764.2277047709 1703294.3137901104),48060.0
YSB4773,황산마을 남측,35.32789,129.0095,2023-10-16,4773.0,38100,경상남도 양산시,양산,POINT (1137197.9451384377 1704636.0013446882),201644.0
YSB4774,부산대병원사거리,35.32726,129.0097,2023-10-16,4774.0,38100,경상남도 양산시,양산,POINT (1137217.1893950088 1704566.4018872937),110567.75859375
YSB4775,물금차고지,35.30935,128.9843,2023-10-16,4775.0,38100,경상남도 양산시,양산,POINT (1134938.1575863445 1702545.03392251),110567.75859375
YSB4776,신기우방아파트,35.35197,129.0363,2023-10-16,4776.0,38100,경상남도 양산시,양산,POINT (1139592.5474905376 1707344.3026059074),43338.0
YSB4777,신기우방아파트,35.35212,129.0364,2023-10-16,4777.0,38100,경상남도 양산시,양산,POINT (1139601.376302233 1707361.081014553),20694.0
YSB4778,용당(차고지),35.42671,129.1832,2023-10-16,4778.0,38100,경상남도 양산시,양산,POINT (1152800.436347556 1715851.4642392583),293348.0
YSB4779,내송삼거리,35.32451,129.0584,2023-10-16,4779.0,38100,경상남도 양산시,양산,POINT (1141648.7076561914 1704329.9345867918),110567.75859375
YSB4780,내송삼거리,35.32487,129.058,2023-10-16,4780.0,38100,경상남도 양산시,양산,POINT (1141611.719226873 1704369.2923940967),110567.75859375
YSB4781,남부삼거리,35.33835,129.0361,2023-10-16,4781.0,38100,경상남도 양산시,양산,POINT (1139597.8090921117 1705833.3470708427),18269.0
YSB4782,남부삼거리,35.33837,129.0366,2023-10-16,4782.0,38100,경상남도 양산시,양산,POINT (1139643.217345253 1705836.2703501636),19290.0
YSB4783,어곡,35.37615,129.0277,2023-10-16,4783.0,38100,경상남도 양산시,양산,POINT (1138769.66771644 1710014.1584815073),69791.0
YSB4784,어곡,35.3759,129.0277,2023-10-16,4784.0,38100,경상남도 양산시,양산,POINT (1138770.0958585127 1709986.4294297937),69791.0
YSB4785,명곡마을,35.39678,129.1691,2023-10-16,4785.0,38100,경상남도 양산시,양산,POINT (1151576.3766617498 1712509.934279627),60685.0
YSB4786,명곡마을,35.39629,129.1689,2023-10-16,4786.0,38100,경상남도 양산시,양산,POINT (1151559.1295569816 1712455.2773550996),60685.0
YSB4787,반도유보라4차정문,35.31637,129.0042,2023-10-16,4787.0,38100,경상남도 양산시,양산,POINT (1136735.5920791246 1703350.9337803242),241498.0
YSB4788,반도유보라4차정문,35.31644,129.0043,2023-10-16,4788.0,38100,경상남도 양산시,양산,POINT (1136744.5651630184 1703358.835823217),230176.0
YSB4789,물금농협 황산지점,35.32911,129.0128,2023-10-16,4789.0,38100,경상남도 양산시,양산,POINT (1137495.8377761059 1704775.8936243032),80441.0
YSB4790,물금농협 황산지점,35.3293,129.0126,2023-10-16,4790.0,38100,경상남도 양산시,양산,POINT (1137477.3369066576 1704796.6898918203),80441.0
YSB4791,신원아침도시,35.41756,129.1647,2023-10-16,4791.0,38100,경상남도 양산시,양산,POINT (1151137.9500631355 1714808.0988989312),22371.0
