시설명,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
거창소방서,0.0,127.923447442,35.677620484,POINT (1038319.1459768976 1742460.3798081449),거창읍,38590110,거창군
하동소방서,0.0001908102354619,127.795562464,34.977864865,POINT (1026977.8661799346 1664813.2362121693),금성면,38560370,하동군
합천소방서,0.0001767812263543,128.148243938,35.572984491,POINT (1058738.432342597 1730966.165334919),합천읍,38600110,합천군
가곡 경로당,0.0022172185470074,128.644385896,35.359032004,POINT (1103971.225242216 1707645.4337990424),동읍,38111110,창원시 의창구
달천 경로당 ,0.0021880156293938,128.661049972,35.362058421,POINT (1105481.3430034458 1707998.7249485902),동읍,38111110,창원시 의창구
합산 경로당 ,0.0027480930050839,128.676029672,35.336589342,POINT (1106875.8612715257 1705190.0055289995),동읍,38111110,창원시 의창구
갈전경로당,0.0016715900159143,128.621548027,35.306579763,POINT (1101962.105608008 1701804.2396892775),북면,38111310,창원시 의창구
갈전경로당,0.0016715900159143,128.682229798,35.359491453,POINT (1107409.0196762541 1707736.797151136),대산면,38111320,창원시 의창구
갈전경로당,0.0016715900159143,128.162482535,35.18907764,POINT (1060313.6937550013 1688397.3098217053),금산면,38030400,진주시
갈전경로당,0.0016715900159143,128.463528525,35.275867479,POINT (1087628.8520054207 1698246.9416035728),산인면,38520380,함안군
고암경로당,0.0008037879546659,128.629939743,35.295234473,POINT (1102739.387527186 1700554.6103019079),북면,38111310,창원시 의창구
고암경로당,0.0008037879546659,127.981663367,34.820525611,POINT (1044048.5140435323 1647431.0349201674),삼동면,38550330,남해군
고암경로당,0.0008037879546659,127.849253511,35.194612027,POINT (1031794.3869165716 1688865.9765915843),옥종면,38560420,하동군
내산경로당,0.0006077745683421,128.590079145,35.376115365,POINT (1099016.207237288 1709484.4575726874),북면,38111310,창원시 의창구
내산경로당,0.0006077745683421,128.015801818,34.772827987,POINT (1047197.7066387758 1642157.1695601586),삼동면,38550330,남해군
내산경로당,0.0006077745683421,127.821986581,35.544014083,POINT (1029186.0727741813 1727607.5273609105),수동면,38580340,함양군
명호경로당,0.0015219466304344,128.600584107,35.321109614,POINT (1100038.2599707723 1703394.3644207988),북면,38111310,창원시 의창구
명호경로당,0.0015219466304344,127.806004697,35.137787946,POINT (1027876.5906131129 1682551.2224807786),청암면,38560410,하동군
바깥신천경로당,0.0032147132439859,128.626420986,35.368208537,POINT (1102327.401391741 1708644.4824531763),북면,38111310,창원시 의창구
소라경로당,0.0025527633955201,128.583624056,35.35958561,POINT (1098449.9145779735 1707644.7096496497),북면,38111310,창원시 의창구
상천(봉촌)경로당,0.003115741214615,128.589730866,35.359518412,POINT (1099004.8375720344 1707643.3473130965),북면,38111310,창원시 의창구
송촌경로당,0.0013398529188738,128.577560908,35.342564139,POINT (1097919.5857825615 1705750.859152927),북면,38111310,창원시 의창구
신기경로당,0.0011774794050843,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792),북면,38111310,창원시 의창구
신기경로당,0.0011774794050843,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792),북면,38111310,창원시 의창구
신기경로당,0.0011774794050843,128.47550654,35.111916607,POINT (1088896.6794464327 1680074.585005219),진동면,38113320,창원시 마산합포구
신기경로당,0.0011774794050843,128.448396794,35.108045968,POINT (1086430.211500405 1679621.458190818),진전면,38113340,창원시 마산합포구
신기경로당,0.0011774794050843,128.280309143,35.17290713,POINT (1071055.1370514615 1686681.7909560779),일반성면,38030350,진주시
신기경로당,0.0011774794050843,128.030638442,35.290920925,POINT (1048249.8627567075 1699619.9289139884),명석면,38030430,진주시
신기경로당,0.0011774794050843,128.070087254,34.962933901,POINT (1052045.150191273 1663265.9449168595),남양동,38060590,사천시
신기경로당,0.0011774794050843,128.736177903,35.257615532,POINT (1112451.5332377448 1696497.5615837588),진례면,38070330,김해시
신기경로당,0.0011774794050843,128.803866781,35.501619766,POINT (1118252.6979782647 1723639.537595088),산외면,38080330,밀양시
신기경로당,0.0011774794050843,128.992905609,35.317681407,POINT (1135706.6338211207 1703480.8599100858),물금읍,38100120,양산시
신기경로당,0.0011774794050843,128.54471096,35.572248975,POINT (1094664.868074374 1731193.3743796614),고암면,38530310,창녕군
신기경로당,0.0011774794050843,128.417382166,35.577183498,POINT (1083121.7241135996 1731625.731338282),이방면,38530340,창녕군
신기경로당,0.0011774794050843,127.88728801,34.837094451,POINT (1035410.6643574032 1649231.0475029082),남해읍,38550110,남해군
신기경로당,0.0011774794050843,127.770244987,35.059738401,POINT (1024642.3976533927 1673886.2219599395),하동읍,38560110,하동군
신기경로당,0.0011774794050843,127.646247094,35.168548824,POINT (1013317.8711796757 1685929.5185218365),화개면,38560310,하동군
신기경로당,0.0011774794050843,127.854802654,34.967987291,POINT (1032389.0051408475 1663735.4413375782),금남면,38560360,하동군
신기경로당,0.0011774794050843,127.882296087,35.027299864,POINT (1034873.6491627407 1670322.2808057952),진교면,38560380,하동군
신기경로당,0.0011774794050843,127.665177667,35.534374099,POINT (1014974.0965581022 1726503.264624659),병곡면,38580400,함양군
신기경로당,0.0011774794050843,127.682812439,35.729492684,POINT (1016532.5442179936 1748146.2972383273),서상면,38580380,함양군
신기경로당,0.0011774794050843,127.694990331,35.644720844,POINT (1017652.5124075374 1738746.454441375),서하면,38580370,함양군
신기경로당,0.0011774794050843,127.719297491,35.498988365,POINT (1019889.0345262116 1722588.3432220926),함양읍,38580110,함양군
신기경로당,0.0011774794050843,127.719297491,35.498988365,POINT (1019889.0345262116 1722588.3432220926),함양읍,38580110,함양군
신기경로당,0.0011774794050843,127.75019367,35.475812859,POINT (1022697.6633048202 1720024.7188821463),휴천면,38580320,함양군
신기경로당,0.0011774794050843,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792),북면,38111310,창원시 의창구
신기경로당,0.0011774794050843,128.623275221,35.363971466,POINT (1102046.9517763397 1708171.3008832792),북면,38111310,창원시 의창구
신기경로당,0.0011774794050843,128.47550654,35.111916607,POINT (1088896.6794464327 1680074.585005219),진동면,38113320,창원시 마산합포구
신기경로당,0.0011774794050843,128.448396794,35.108045968,POINT (1086430.211500405 1679621.458190818),진전면,38113340,창원시 마산합포구
신기경로당,0.0011774794050843,128.280309143,35.17290713,POINT (1071055.1370514615 1686681.7909560779),일반성면,38030350,진주시
신기경로당,0.0011774794050843,128.030638442,35.290920925,POINT (1048249.8627567075 1699619.9289139884),명석면,38030430,진주시
신기경로당,0.0011774794050843,128.070087254,34.962933901,POINT (1052045.150191273 1663265.9449168595),남양동,38060590,사천시
신기경로당,0.0011774794050843,128.736177903,35.257615532,POINT (1112451.5332377448 1696497.5615837588),진례면,38070330,김해시
신기경로당,0.0011774794050843,128.803866781,35.501619766,POINT (1118252.6979782647 1723639.537595088),산외면,38080330,밀양시
신기경로당,0.0011774794050843,128.992905609,35.317681407,POINT (1135706.6338211207 1703480.8599100858),물금읍,38100120,양산시
신기경로당,0.0011774794050843,128.54471096,35.572248975,POINT (1094664.868074374 1731193.3743796614),고암면,38530310,창녕군
신기경로당,0.0011774794050843,128.417382166,35.577183498,POINT (1083121.7241135996 1731625.731338282),이방면,38530340,창녕군
신기경로당,0.0011774794050843,127.88728801,34.837094451,POINT (1035410.6643574032 1649231.0475029082),남해읍,38550110,남해군
신기경로당,0.0011774794050843,127.770244987,35.059738401,POINT (1024642.3976533927 1673886.2219599395),하동읍,38560110,하동군
신기경로당,0.0011774794050843,127.646247094,35.168548824,POINT (1013317.8711796757 1685929.5185218365),화개면,38560310,하동군
신기경로당,0.0011774794050843,127.854802654,34.967987291,POINT (1032389.0051408475 1663735.4413375782),금남면,38560360,하동군
신기경로당,0.0011774794050843,127.882296087,35.027299864,POINT (1034873.6491627407 1670322.2808057952),진교면,38560380,하동군
신기경로당,0.0011774794050843,127.665177667,35.534374099,POINT (1014974.0965581022 1726503.264624659),병곡면,38580400,함양군
신기경로당,0.0011774794050843,127.682812439,35.729492684,POINT (1016532.5442179936 1748146.2972383273),서상면,38580380,함양군
신기경로당,0.0011774794050843,127.694990331,35.644720844,POINT (1017652.5124075374 1738746.454441375),서하면,38580370,함양군
신기경로당,0.0011774794050843,127.719297491,35.498988365,POINT (1019889.0345262116 1722588.3432220926),함양읍,38580110,함양군
신기경로당,0.0011774794050843,127.719297491,35.498988365,POINT (1019889.0345262116 1722588.3432220926),함양읍,38580110,함양군
신기경로당,0.0011774794050843,127.75019367,35.475812859,POINT (1022697.6633048202 1720024.7188821463),휴천면,38580320,함양군
신천경로당,0.0018727432797113,128.612977089,35.373027144,POINT (1101100.0565734939 1709165.0967907854),북면,38111310,창원시 의창구
신천경로당,0.0018727432797113,128.375498252,35.077532845,POINT (1079816.2968869712 1676176.6615119982),회화면,38540400,고성군
신천경로당,0.0018727432797113,127.998934714,35.723779058,POINT (1045124.2722413673 1747611.9171097106),가조면,38590400,거창군
양지경로당,0.0003500043037229,128.627069534,35.30394906,POINT (1102467.4155615172 1701518.164967556),북면,38111310,창원시 의창구
양지경로당,0.0003500043037229,128.764646671,35.305390127,POINT (1114973.8315922671 1701828.89438657),진영읍,38070110,김해시
