행정기관코드,시도_시군구_읍면동명,계,남자,여자,유아,초등학생,중학생,고등학생,20대,30대,40대,50대,노인
48170330,경상남도 진주시 금곡면,2058,1004,1054,24,28,37,27,96,104,146,335,1261
48170350,경상남도 진주시 진성면,1798,905,893,27,30,8,16,78,105,115,303,1116
48170360,경상남도 진주시 일반성면,2432,1202,1230,50,73,55,46,136,147,227,454,1244
48170370,경상남도 진주시 이반성면,1508,765,743,7,18,3,12,55,57,85,208,1063
48170380,경상남도 진주시 사봉면,1422,691,731,10,26,17,14,47,53,109,208,938
48170390,경상남도 진주시 지수면,1344,674,670,17,27,22,14,82,52,102,224,804
48170400,경상남도 진주시 대곡면,2958,1479,1479,26,38,32,24,141,120,210,484,1883
48170410,경상남도 진주시 금산면,20273,10116,10157,1107,1551,759,746,2117,2087,3240,3577,5089
48170420,경상남도 진주시 집현면,4394,2226,2168,108,181,117,107,306,314,497,872,1892
48170430,경상남도 진주시 미천면,1510,770,740,11,19,13,11,54,55,79,244,1024
48170440,경상남도 진주시 명석면,3758,1847,1911,57,85,46,43,225,211,301,697,2093
48170450,경상남도 진주시 대평면,971,463,508,11,27,11,9,54,45,75,155,584
48170460,경상남도 진주시 수곡면,2120,1049,1071,21,40,29,28,114,84,138,375,1291
48170515,경상남도 진주시 천전동,27405,13558,13847,848,1154,649,759,4317,2774,3354,4692,8858
48170555,경상남도 진주시 성북동,9755,4823,4932,226,304,213,184,1129,1051,1335,1657,3656
48170565,경상남도 진주시 중앙동,10472,5022,5450,199,260,175,182,903,871,1074,1696,5112
48170595,경상남도 진주시 상봉동,13095,6452,6643,252,439,297,296,1507,1113,1536,2466,5189
48170673,경상남도 진주시 상대동,18611,9153,9458,494,723,425,457,2456,2051,2281,3430,6294
48170678,경상남도 진주시 하대동,23301,11652,11649,688,1017,656,684,3081,2564,2937,4800,6874
48170680,경상남도 진주시 상평동,10942,5532,5410,412,522,312,278,1271,1247,1554,1895,3451
48170695,경상남도 진주시 초장동,25983,13076,12907,1837,2466,1259,1068,2831,3102,5047,4495,3878
48170710,경상남도 진주시 평거동,26104,12398,13706,1077,1574,926,960,3488,2832,3955,5154,6138
48170715,경상남도 진주시 신안동,11182,5279,5903,350,506,293,309,1352,1094,1403,1930,3945
48170720,경상남도 진주시 이현동,10603,5246,5357,287,533,324,332,1132,895,1440,2068,3592
48170730,경상남도 진주시 판문동,20417,9703,10714,1192,1870,955,729,2053,2053,3823,3519,4223
48170740,경상남도 진주시 가호동,30672,15562,15110,1884,1551,740,1120,6552,4621,4274,4498,5432
48170750,경상남도 진주시 충무공동,34031,16750,17281,3708,3779,1467,896,2956,6349,7457,4176,3243
48220250,경상남도 통영시 산양읍,4308,2283,2025,46,110,64,44,201,225,471,836,2311
48220310,경상남도 통영시 용남면,11790,5863,5927,488,916,452,378,861,954,2053,2253,3435
48220330,경상남도 통영시 도산면,2673,1375,1298,24,44,34,28,107,124,190,465,1657
48220340,경상남도 통영시 광도면,30606,15546,15060,1788,2831,1411,1028,2490,3346,6590,5146,5976
48220350,경상남도 통영시 욕지면,1906,1099,807,17,33,32,17,99,69,206,419,1014
48220360,경상남도 통영시 한산면,1876,979,897,9,15,18,14,53,71,135,320,1241
48220370,경상남도 통영시 사량면,1366,690,676,7,11,7,11,35,45,88,256,906
48220510,경상남도 통영시 도천동,8256,4123,4133,157,331,211,231,784,507,1043,1510,3482
48220530,경상남도 통영시 명정동,2568,1250,1318,35,63,48,32,148,117,251,439,1435
48220550,경상남도 통영시 중앙동,3470,1714,1756,49,97,45,63,183,201,377,631,1824
48220590,경상남도 통영시 정량동,8070,4074,3996,180,341,177,158,487,551,1094,1605,3477
48220600,경상남도 통영시 북신동,9904,4695,5209,386,479,302,263,726,809,1388,1602,3949
48220665,경상남도 통영시 미수동,10280,5019,5261,287,674,415,347,806,747,1621,1971,3412
48220670,경상남도 통영시 봉평동,9292,4730,4562,179,413,259,222,694,735,1223,1787,3780
48220700,경상남도 통영시 무전동,13069,6509,6560,488,788,494,437,1342,1267,2288,2494,3471
48240250,경상남도 사천시 사천읍,17362,9234,8128,730,913,520,513,2070,2036,2887,3257,4436
48240310,경상남도 사천시 정동면,13683,6868,6815,858,963,523,454,1312,1811,2408,2406,2948
48240320,경상남도 사천시 사남면,17329,9019,8310,1187,1484,739,579,1809,2360,3387,2578,3206
48240330,경상남도 사천시 용현면,7066,3542,3524,246,450,223,141,404,561,1146,1162,2733
48240340,경상남도 사천시 축동면,1481,778,703,30,26,10,16,64,87,116,243,889
48240350,경상남도 사천시 곤양면,3147,1623,1524,35,69,50,42,157,136,243,523,1892
48240360,경상남도 사천시 곤명면,2654,1350,1304,34,43,22,22,112,107,200,457,1657
48240370,경상남도 사천시 서포면,3345,1644,1701,36,54,44,36,156,147,251,607,2014
48240510,경상남도 사천시 동서동,5377,2582,2795,74,137,62,66,285,248,535,879,3091
48240520,경상남도 사천시 선구동,4712,2311,2401,96,135,83,68,379,347,548,886,2170
48240530,경상남도 사천시 동서금동,6075,2925,3150,269,322,156,132,426,518,879,1050,2323
48240550,경상남도 사천시 벌용동,14827,7196,7631,459,816,517,443,1302,1163,2214,2947,4966
48240570,경상남도 사천시 향촌동,6727,3565,3162,195,280,180,169,710,488,959,1309,2437
48240595,경상남도 사천시 남양동,4904,2413,2491,131,198,110,108,323,318,561,848,2307
48240890,경상남도 사천시 신수출장소,234,119,115,0,5,1,3,5,7,18,40,155
48250250,경상남도 김해시 진영읍,54267,27932,26335,3392,4369,2003,1624,4425,6598,10885,9180,11791
48250320,경상남도 김해시 주촌면,19788,10134,9654,2190,1608,392,349,1700,3919,3629,2950,3051
48250330,경상남도 김해시 진례면,5877,3200,2677,81,140,101,76,406,413,611,1212,2837
48250340,경상남도 김해시 한림면,6662,3645,3017,69,125,83,69,350,468,556,1226,3716
48250350,경상남도 김해시 생림면,3518,1870,1648,42,46,22,30,181,210,259,664,2064
48250360,경상남도 김해시 상동면,2972,1640,1332,28,62,31,34,175,216,268,580,1578
48250370,경상남도 김해시 대동면,5212,2692,2520,42,111,64,47,238,297,432,829,3152
48250510,경상남도 김해시 동상동,8897,4576,4321,297,321,155,174,985,1075,1116,1747,3027
48250520,경상남도 김해시 회현동,8321,4170,4151,368,325,127,146,784,1019,1015,1499,3038
48250530,경상남도 김해시 부원동,9119,4656,4463,352,294,142,187,1020,1065,1142,1925,2992
48250540,경상남도 김해시 내외동,70477,35100,35377,2627,3413,2040,2090,9652,8697,9789,15840,16329
48250550,경상남도 김해시 북부동,81812,40844,40968,4230,5719,3128,3035,9755,9431,14094,16687,15733
48250565,경상남도 김해시 칠산서부동,9021,4789,4232,239,345,195,190,948,851,1168,1856,3229
48250580,경상남도 김해시 활천동,37291,18994,18297,1189,1847,998,1048,4509,4046,5140,8163,10351
48250590,경상남도 김해시 삼안동,33414,17206,16208,957,1248,766,913,5051,3639,4030,7367,9443
48250600,경상남도 김해시 불암동,6786,3460,3326,214,371,183,197,764,650,911,1405,2091
48250610,경상남도 김해시 장유1동,57529,28640,28889,3204,4029,2443,2300,6433,6893,10814,11439,9974
48250620,경상남도 김해시 장유2동,37757,19108,18649,1895,2702,1518,1518,4569,4274,7328,7694,6259
48250630,경상남도 김해시 장유3동,73599,36484,37115,5782,8096,3677,2903,6432,9619,17253,11119,8718
48270250,경상남도 밀양시 삼랑진읍,4985,2492,2493,60,106,63,78,233,242,438,822,2943
48270251,경상남도 밀양시 삼랑진임천출장소,1260,641,619,8,12,16,30,117,80,94,163,740
48270253,경상남도 밀양시 하남읍,6682,3356,3326,129,179,101,122,347,352,679,1141,3632
48270310,경상남도 밀양시 부북면,5178,2712,2466,69,105,53,73,322,285,444,874,2953
48270320,경상남도 밀양시 상동면,3078,1473,1605,34,38,32,27,102,140,170,459,2076
