행정기관코드,시도_시군구_읍면동명,계,남자,여자,유아,초등학생,중학생,고등학생,20대,30대,40대,50대,노인
48880350,경상남도 거창군 위천면,1911,928,983,20,48,68,57,88,66,124,302,1138
48880360,경상남도 거창군 마리면,1957,951,1006,19,35,28,25,92,85,123,305,1245
48880370,경상남도 거창군 남상면,2293,1123,1170,35,34,18,18,119,121,166,373,1409
48880380,경상남도 거창군 남하면,1428,696,732,23,26,20,13,48,68,94,199,937
48880390,경상남도 거창군 신원면,1518,746,772,19,34,13,7,41,44,89,217,1054
48880400,경상남도 거창군 가조면,3516,1703,1813,51,50,51,48,158,148,247,570,2193
48880410,경상남도 거창군 가북면,1342,663,679,14,17,13,14,38,34,76,227,909
48890250,경상남도 합천군 합천읍,10773,5290,5483,434,571,344,304,989,880,1404,2018,3829
48890310,경상남도 합천군 봉산면,1396,708,688,12,15,13,14,51,47,76,210,958
48890320,경상남도 합천군 묘산면,1437,707,730,10,11,10,12,53,45,71,203,1022
48890330,경상남도 합천군 가야면,3917,1936,1981,41,76,56,50,171,176,286,731,2330
48890340,경상남도 합천군 야로면,2272,1091,1181,36,47,37,34,113,88,192,332,1393
48890350,경상남도 합천군 율곡면,2053,1038,1015,25,26,11,16,87,88,135,305,1360
48890360,경상남도 합천군 초계면,2217,1074,1143,27,50,39,30,129,97,181,362,1302
48890370,경상남도 합천군 쌍책면,1192,574,618,16,13,10,9,22,44,72,146,860
48890380,경상남도 합천군 덕곡면,788,408,380,4,7,4,7,26,21,42,122,555
48890390,경상남도 합천군 청덕면,1502,734,768,17,20,10,5,46,59,101,226,1018
48890400,경상남도 합천군 적중면,1300,614,686,17,15,16,14,62,53,72,181,870
48890410,경상남도 합천군 대양면,1701,868,833,75,65,24,24,76,134,170,261,872
48890420,경상남도 합천군 쌍백면,1631,782,849,14,25,19,13,39,40,80,231,1170
48890430,경상남도 합천군 삼가면,2990,1386,1604,41,55,32,25,145,105,238,476,1873
48890440,경상남도 합천군 가회면,1685,849,836,8,38,31,24,42,45,110,270,1117
48890450,경상남도 합천군 대병면,1858,902,956,11,28,21,22,79,61,91,302,1243
48890460,경상남도 합천군 용주면,2088,1036,1052,20,24,22,19,65,66,137,343,1392
